|n1|rel|n2
1033|ADEM|Based_on|progressivism
1034|can be severe and sudden . Once acute symptoms occur , treatment is needed until it subsides|Based_on|was more anti - capitalistic that favored agrarianism while opposing drastic modernization
1035|ADEM|Based_on|populism
1036|For , attacks happen gradually when there are no measures taken to control the disease , like taking medication and therapy . Many patients who have MS can live a normal life as long as they take care of the disease properly|Based_on|The standard conception of was leaning more on uplifting the country by means of socio - economic and political reforms
1037|MS|Based_on|progressivism
1038|For , attacks happen gradually when there are no measures taken to control the disease , like taking medication and therapy . Many patients who have MS can live a normal life as long as they take care of the disease properly|Based_on|was more anti - capitalistic that favored agrarianism while opposing drastic modernization
1039|MS|Based_on|populism
1040|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments|defines|Rock music
1041|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat|defines|rap music
1042|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments|defines|Rock music
1043|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat|defines|rap music
1044|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments|opposed|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat
1045|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments|opposed|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat
1046|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments|Based_on|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments
1047|Rock music|Based_on|Rock music
1048|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments|Based_on|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat
1049|Rock music|Based_on|rap music
1050|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat|Based_on|is the genre of music which evolved from various genres , notably rock and roll , and made it to the mainstream around the 1960s . Generally , rock music is a sound that mainly rotates around guitars , bass and drums and the keyboard . There ’s a big tendency to focus on instruments especially the guitar and requires considerable skill in playing these instruments
1051|rap music|Based_on|Rock music
1052|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat|Based_on|on the other hand can actually be classified as a subgenre of a larger music genre known as hip - hop . Unlike rock , rap ’s main focus is free styling and looping words to create some ‘ story ’ in a flowing rhyme , keeping it in sync with the beat
1053|rap music|Based_on|rap music
1054|the is a separation technique|defines|distillation
1055|the is a process of changing the phase of matter|defines|condensation
1056|is a common technique in industries that we can use to separate components in a liquid mixture . The technique includes selective boiling followed by condensation|defines|Distillation
1057|is the process of changing the phase of matter from gas phase to liquid phase|defines|condensation
1058|the is a separation technique|opposed|the is a process of changing the phase of matter
1059|is a common technique in industries that we can use to separate components in a liquid mixture . The technique includes selective boiling followed by condensation|opposed|is the process of changing the phase of matter from gas phase to liquid phase
1060|the is a separation technique|Based_on|is a common technique in industries that we can use to separate components in a liquid mixture . The technique includes selective boiling followed by condensation
1061|distillation|Based_on|Distillation
1062|the is a separation technique|Based_on|is the process of changing the phase of matter from gas phase to liquid phase
1063|distillation|Based_on|condensation
1064|the is a process of changing the phase of matter|Based_on|is a common technique in industries that we can use to separate components in a liquid mixture . The technique includes selective boiling followed by condensation
1065|condensation|Based_on|Distillation
1066|the is a process of changing the phase of matter|Based_on|is the process of changing the phase of matter from gas phase to liquid phase
1067|condensation|Based_on|condensation
1068|has an ambiguous meaning but many associations|defines|Human Capital Management
1069|Management Systems has a definite meaning|defines|Human Resource
1070|is more related to the computer side of Human Resources|defines|Human Resource Management Systems
1071|is more related to “ how to do things . ”|defines|Human Capital Management
1072|has an ambiguous meaning but many associations|opposed|Management Systems has a definite meaning
1073|is more related to the computer side of Human Resources|opposed|is more related to “ how to do things . ”
1074|has an ambiguous meaning but many associations|Based_on|is more related to the computer side of Human Resources
1075|Human Capital Management|Based_on|Human Resource Management Systems
1076|has an ambiguous meaning but many associations|Based_on|is more related to “ how to do things . ”
1077|Human Capital Management|Based_on|Human Capital Management
1078|Management Systems has a definite meaning|Based_on|is more related to the computer side of Human Resources
1079|Human Resource|Based_on|Human Resource Management Systems
1080|Management Systems has a definite meaning|Based_on|is more related to “ how to do things . ”
1081|Human Resource|Based_on|Human Capital Management
1082|The United States started as|defines|confederation
1083|later turned into a once the constitution was created , signed and ratified by all members|defines|federation
1084|In the , the federation is formed of 50 individual states|defines|United States
1085|in provinces are tied together under the umbrella of the central government|defines|Canada and Switzerland
1086|The United States started as|opposed|later turned into a once the constitution was created , signed and ratified by all members
1087|In the , the federation is formed of 50 individual states|opposed|in provinces are tied together under the umbrella of the central government
1088|The United States started as|Based_on|In the , the federation is formed of 50 individual states
1089|confederation|Based_on|United States
1090|The United States started as|Based_on|in provinces are tied together under the umbrella of the central government
1091|confederation|Based_on|Canada and Switzerland
1092|later turned into a once the constitution was created , signed and ratified by all members|Based_on|In the , the federation is formed of 50 individual states
1093|federation|Based_on|United States
1094|later turned into a once the constitution was created , signed and ratified by all members|Based_on|in provinces are tied together under the umbrella of the central government
1095|federation|Based_on|Canada and Switzerland
1096|are names for people , places , things , and ideas|defines|Nouns
1097|are words used to describe these nouns|defines|adjectives
1098|have two main types— the common noun and the proper noun and other sub types such as collective , concrete , abstract , and mass or uncountable nouns|defines|Nouns
1099|on the other hand have descriptive , personal titles , and possessive adjectives|defines|Adjectives
1100|are names for people , places , things , and ideas|opposed|are words used to describe these nouns
1101|have two main types— the common noun and the proper noun and other sub types such as collective , concrete , abstract , and mass or uncountable nouns|opposed|on the other hand have descriptive , personal titles , and possessive adjectives
1102|are names for people , places , things , and ideas|Based_on|have two main types— the common noun and the proper noun and other sub types such as collective , concrete , abstract , and mass or uncountable nouns
1103|Nouns|Based_on|Nouns
1104|are names for people , places , things , and ideas|Based_on|on the other hand have descriptive , personal titles , and possessive adjectives
1105|Nouns|Based_on|Adjectives
1106|are words used to describe these nouns|Based_on|have two main types— the common noun and the proper noun and other sub types such as collective , concrete , abstract , and mass or uncountable nouns
1107|adjectives|Based_on|Nouns
1108|are words used to describe these nouns|Based_on|on the other hand have descriptive , personal titles , and possessive adjectives
1109|adjectives|Based_on|Adjectives
1110|The is the head of Catholicism|defines|Roman Catholic Pope
1111|the is the symbol of Buddhist faith|defines|Buddha
1112|believes in an omnipresent , omnipotent God , the Almighty Father|defines|Catholicism
1113|does not . The closest thing to God would be Siddhartha Gautama , the first Buddha to achieve spiritual enlightenment|defines|Buddhism
1114|The is the head of Catholicism|opposed|the is the symbol of Buddhist faith
1115|believes in an omnipresent , omnipotent God , the Almighty Father|opposed|does not . The closest thing to God would be Siddhartha Gautama , the first Buddha to achieve spiritual enlightenment
1116|The is the head of Catholicism|Based_on|believes in an omnipresent , omnipotent God , the Almighty Father
1117|Roman Catholic Pope|Based_on|Catholicism
1118|The is the head of Catholicism|Based_on|does not . The closest thing to God would be Siddhartha Gautama , the first Buddha to achieve spiritual enlightenment
1119|Roman Catholic Pope|Based_on|Buddhism
1120|the is the symbol of Buddhist faith|Based_on|believes in an omnipresent , omnipotent God , the Almighty Father
1121|Buddha|Based_on|Catholicism
1122|the is the symbol of Buddhist faith|Based_on|does not . The closest thing to God would be Siddhartha Gautama , the first Buddha to achieve spiritual enlightenment
1123|Buddha|Based_on|Buddhism
1124|is easier to learn|defines|Mandarin
1125|to|defines|Cantonese
1126|There are only a few Mandarin users who can speak|defines|Cantonese
1127|Overall , knowing makes you understand more people and at the same time be understood by even more people|defines|Mandarin
1128|is easier to learn|opposed|to
1129|There are only a few Mandarin users who can speak|opposed|Overall , knowing makes you understand more people and at the same time be understood by even more people
1130|is easier to learn|Based_on|There are only a few Mandarin users who can speak
1131|Mandarin|Based_on|Cantonese
1132|is easier to learn|Based_on|Overall , knowing makes you understand more people and at the same time be understood by even more people
1133|Mandarin|Based_on|Mandarin
1134|to|Based_on|There are only a few Mandarin users who can speak
1135|Cantonese|Based_on|Cantonese
1136|to|Based_on|Overall , knowing makes you understand more people and at the same time be understood by even more people
1137|Cantonese|Based_on|Mandarin
1138|A is mainly subject - centric|defines|diploma
1139|A covers a broader area , and includes subjects like science , mathematics , humanities and history|defines|Bachelor ’s degree
1140|In a , the central government has no power de facto , and it is only in place to facilitate the decision - making process and speed up communication .|defines|confederation
1141|when states come together to create a , they create a new nation state , with a functioning and powerful central government . The constituents lose part of their autonomy and authority , and the central government acquires the ability of making decisions regarding national security , military , foreign policy and diplomacy|defines|federation
1142|A is mainly subject - centric|opposed|A covers a broader area , and includes subjects like science , mathematics , humanities and history
1143|In a , the central government has no power de facto , and it is only in place to facilitate the decision - making process and speed up communication .|opposed|when states come together to create a , they create a new nation state , with a functioning and powerful central government . The constituents lose part of their autonomy and authority , and the central government acquires the ability of making decisions regarding national security , military , foreign policy and diplomacy
1144|A is mainly subject - centric|Based_on|In a , the central government has no power de facto , and it is only in place to facilitate the decision - making process and speed up communication .
1145|diploma|Based_on|confederation
1146|A is mainly subject - centric|Based_on|when states come together to create a , they create a new nation state , with a functioning and powerful central government . The constituents lose part of their autonomy and authority , and the central government acquires the ability of making decisions regarding national security , military , foreign policy and diplomacy
1147|diploma|Based_on|federation
1148|A covers a broader area , and includes subjects like science , mathematics , humanities and history|Based_on|In a , the central government has no power de facto , and it is only in place to facilitate the decision - making process and speed up communication .
1149|Bachelor ’s degree|Based_on|confederation
1150|A covers a broader area , and includes subjects like science , mathematics , humanities and history|Based_on|when states come together to create a , they create a new nation state , with a functioning and powerful central government . The constituents lose part of their autonomy and authority , and the central government acquires the ability of making decisions regarding national security , military , foreign policy and diplomacy
1151|Bachelor ’s degree|Based_on|federation
1152|school is better|defines|This
1153|chosen by your parents|defines|that
1154|will only perform aggregate and summation activities on the data that shares a significant number of similarities . It is important to highlight that one can not calculate the average of a data that is not similar|defines|Group by
1155|ensures that all operations that are carried out to sort out data are done in either ascending or descending order . This means that the data will be displayed in a manner that is easy to read and understand|defines|order by
1156|school is better|opposed|chosen by your parents
1157|will only perform aggregate and summation activities on the data that shares a significant number of similarities . It is important to highlight that one can not calculate the average of a data that is not similar|opposed|ensures that all operations that are carried out to sort out data are done in either ascending or descending order . This means that the data will be displayed in a manner that is easy to read and understand
1158|school is better|Based_on|will only perform aggregate and summation activities on the data that shares a significant number of similarities . It is important to highlight that one can not calculate the average of a data that is not similar
1159|This|Based_on|Group by
1160|school is better|Based_on|ensures that all operations that are carried out to sort out data are done in either ascending or descending order . This means that the data will be displayed in a manner that is easy to read and understand
1161|This|Based_on|order by
1162|chosen by your parents|Based_on|will only perform aggregate and summation activities on the data that shares a significant number of similarities . It is important to highlight that one can not calculate the average of a data that is not similar
1163|that|Based_on|Group by
1164|chosen by your parents|Based_on|ensures that all operations that are carried out to sort out data are done in either ascending or descending order . This means that the data will be displayed in a manner that is easy to read and understand
1165|that|Based_on|order by
1166|the loves to please you|defines|former
1167|the always love to please themselves|defines|latter
1168|is a former Latin name referring to the planet Venus , and is associated with the falling of the morning star from heaven|defines|Lucifer
1169|is a being who seduces believers to go into sin , and was initially an angel of God who rebelled against Him , and is also associated with the first sin committed by humankind in the Garden of Eden|defines|Satan
1170|the loves to please you|opposed|the always love to please themselves
1171|is a former Latin name referring to the planet Venus , and is associated with the falling of the morning star from heaven|opposed|is a being who seduces believers to go into sin , and was initially an angel of God who rebelled against Him , and is also associated with the first sin committed by humankind in the Garden of Eden
1172|the loves to please you|Based_on|is a former Latin name referring to the planet Venus , and is associated with the falling of the morning star from heaven
1173|former|Based_on|Lucifer
1174|the loves to please you|Based_on|is a being who seduces believers to go into sin , and was initially an angel of God who rebelled against Him , and is also associated with the first sin committed by humankind in the Garden of Eden
1175|former|Based_on|Satan
1176|the always love to please themselves|Based_on|is a former Latin name referring to the planet Venus , and is associated with the falling of the morning star from heaven
1177|latter|Based_on|Lucifer
1178|the always love to please themselves|Based_on|is a being who seduces believers to go into sin , and was initially an angel of God who rebelled against Him , and is also associated with the first sin committed by humankind in the Garden of Eden
1179|latter|Based_on|Satan
1180|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )|defines|confederation
1181|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state|defines|federation
1182|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )|defines|confederation
1183|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state|defines|federation
1184|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )|opposed|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state
1185|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )|opposed|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state
1186|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )|Based_on|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )
1187|confederation|Based_on|confederation
1188|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )|Based_on|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state
1189|confederation|Based_on|federation
1190|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state|Based_on|in a , states agree to come together for various purposes , but they are not legally tied together and can technically back up or exit the confederation whenever they want ( depending on the type of confederation )
1191|federation|Based_on|confederation
1192|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state|Based_on|in a , there are binding legal agreements that prevent states from leaving the union . Relations among states within a federation are stronger as the different entities come together to create a new nation state
1193|federation|Based_on|federation
1194|, the granulated one is pure sucrose . It is made from tropical sugar cane and temperate sugar beets . The crystal sizes of the sugar can vary based on the processing levels . The processing level determines the white color of the sugar|defines|White sugar
1195|can be of two different types ‘ “ free flowing and sticky . It is made by adding syrup to sugar . The final color of the sugar depends on the ratio of the syrup being added to the original sugar|defines|Brown sugar
1196|is made from the sugarcane beets|defines|White sugar
1197|is made by adding syrup to the white sugar|defines|brown sugar
1198|, the granulated one is pure sucrose . It is made from tropical sugar cane and temperate sugar beets . The crystal sizes of the sugar can vary based on the processing levels . The processing level determines the white color of the sugar|opposed|can be of two different types ‘ “ free flowing and sticky . It is made by adding syrup to sugar . The final color of the sugar depends on the ratio of the syrup being added to the original sugar
1199|is made from the sugarcane beets|opposed|is made by adding syrup to the white sugar
1200|, the granulated one is pure sucrose . It is made from tropical sugar cane and temperate sugar beets . The crystal sizes of the sugar can vary based on the processing levels . The processing level determines the white color of the sugar|Based_on|is made from the sugarcane beets
1201|White sugar|Based_on|White sugar
1202|, the granulated one is pure sucrose . It is made from tropical sugar cane and temperate sugar beets . The crystal sizes of the sugar can vary based on the processing levels . The processing level determines the white color of the sugar|Based_on|is made by adding syrup to the white sugar
1203|White sugar|Based_on|brown sugar
1204|can be of two different types ‘ “ free flowing and sticky . It is made by adding syrup to sugar . The final color of the sugar depends on the ratio of the syrup being added to the original sugar|Based_on|is made from the sugarcane beets
1205|Brown sugar|Based_on|White sugar
1206|can be of two different types ‘ “ free flowing and sticky . It is made by adding syrup to sugar . The final color of the sugar depends on the ratio of the syrup being added to the original sugar|Based_on|is made by adding syrup to the white sugar
1207|Brown sugar|Based_on|brown sugar
1208|is the measurement of an engine ’s power without any power losses|defines|B HP
1209|is BHP less the power losses|defines|HP
1210|is the measurement of an engine ’s power without any power losses|defines|B HP
1211|is BHP less the power losses|defines|HP
1212|is the measurement of an engine ’s power without any power losses|opposed|is BHP less the power losses
1213|is the measurement of an engine ’s power without any power losses|opposed|is BHP less the power losses
1214|is the measurement of an engine ’s power without any power losses|Based_on|is the measurement of an engine ’s power without any power losses
1215|B HP|Based_on|B HP
1216|is the measurement of an engine ’s power without any power losses|Based_on|is BHP less the power losses
1217|B HP|Based_on|HP
1218|is BHP less the power losses|Based_on|is the measurement of an engine ’s power without any power losses
1219|HP|Based_on|B HP
1220|is BHP less the power losses|Based_on|is BHP less the power losses
1221|HP|Based_on|HP
1222|focus on society as an entity and the activities that its members engage in ( human interaction , relationships , culture and tradition , and other human aspects )|defines|Social studies
1223|is also involved with people with a specific reference to what happened in the past . In addition , history is concerned with past contributions and constructions that affect the present world|defines|history
1224|encompass many disciplines like : history , economics , political science , psychology , anthropology , geography , social science , sociology , archeology , and others|defines|Social studies
1225|is a specific study and can be classified by period , geographical location , or discipline . In addition , history can have the form of written or oral history|defines|history
1226|focus on society as an entity and the activities that its members engage in ( human interaction , relationships , culture and tradition , and other human aspects )|opposed|is also involved with people with a specific reference to what happened in the past . In addition , history is concerned with past contributions and constructions that affect the present world
1227|encompass many disciplines like : history , economics , political science , psychology , anthropology , geography , social science , sociology , archeology , and others|opposed|is a specific study and can be classified by period , geographical location , or discipline . In addition , history can have the form of written or oral history
1228|focus on society as an entity and the activities that its members engage in ( human interaction , relationships , culture and tradition , and other human aspects )|Based_on|encompass many disciplines like : history , economics , political science , psychology , anthropology , geography , social science , sociology , archeology , and others
1229|Social studies|Based_on|Social studies
1230|focus on society as an entity and the activities that its members engage in ( human interaction , relationships , culture and tradition , and other human aspects )|Based_on|is a specific study and can be classified by period , geographical location , or discipline . In addition , history can have the form of written or oral history
1231|Social studies|Based_on|history
1232|is also involved with people with a specific reference to what happened in the past . In addition , history is concerned with past contributions and constructions that affect the present world|Based_on|encompass many disciplines like : history , economics , political science , psychology , anthropology , geography , social science , sociology , archeology , and others
1233|history|Based_on|Social studies
1234|is also involved with people with a specific reference to what happened in the past . In addition , history is concerned with past contributions and constructions that affect the present world|Based_on|is a specific study and can be classified by period , geographical location , or discipline . In addition , history can have the form of written or oral history
1235|history|Based_on|history
1236|For , the inflammation shown is widely disseminated|defines|ADEM
1237|for it ’s more delineated|defines|MS
1238|plug into the internal part of the ear covering the eardrums entirely|defines|Earphones
1239|rest on the outer surface of the ear without covering the auditory surface entirely|defines|Headphones
1240|For , the inflammation shown is widely disseminated|opposed|for it ’s more delineated
1241|plug into the internal part of the ear covering the eardrums entirely|opposed|rest on the outer surface of the ear without covering the auditory surface entirely
1242|For , the inflammation shown is widely disseminated|Based_on|plug into the internal part of the ear covering the eardrums entirely
1243|ADEM|Based_on|Earphones
1244|For , the inflammation shown is widely disseminated|Based_on|rest on the outer surface of the ear without covering the auditory surface entirely
1245|ADEM|Based_on|Headphones
1246|for it ’s more delineated|Based_on|plug into the internal part of the ear covering the eardrums entirely
1247|MS|Based_on|Earphones
1248|for it ’s more delineated|Based_on|rest on the outer surface of the ear without covering the auditory surface entirely
1249|MS|Based_on|Headphones
1250|According to mathematicians , significantly helps in determining the speed of the function by helping in the calculation of instantaneous velocity|defines|differentiation
1251|is concerned with determining the distanced travelled by any given function . The area under the curve is estimated to be equivalent to the distance travelled by the function|defines|integration
1252|is the preferred choice of language when you want to implement concurrency . Scala makes writing parallel code intuitive and straightforward by providing high-level concurrency abstractions . It offers multiple asynchronous libraries and reactive cores that help in quick integration of databases in highly scalable systems|defines|Scala
1253|, on the other hand , does not support heavyweight process forking so it is not the preferred choice of language for highly concurrent and scalable systems . It does not support multithreading and concurrency well so Python is in the downside , when it comes to big data projects|defines|Python
1254|According to mathematicians , significantly helps in determining the speed of the function by helping in the calculation of instantaneous velocity|opposed|is concerned with determining the distanced travelled by any given function . The area under the curve is estimated to be equivalent to the distance travelled by the function
1255|is the preferred choice of language when you want to implement concurrency . Scala makes writing parallel code intuitive and straightforward by providing high-level concurrency abstractions . It offers multiple asynchronous libraries and reactive cores that help in quick integration of databases in highly scalable systems|opposed|, on the other hand , does not support heavyweight process forking so it is not the preferred choice of language for highly concurrent and scalable systems . It does not support multithreading and concurrency well so Python is in the downside , when it comes to big data projects
1256|According to mathematicians , significantly helps in determining the speed of the function by helping in the calculation of instantaneous velocity|Based_on|is the preferred choice of language when you want to implement concurrency . Scala makes writing parallel code intuitive and straightforward by providing high-level concurrency abstractions . It offers multiple asynchronous libraries and reactive cores that help in quick integration of databases in highly scalable systems
1257|differentiation|Based_on|Scala
1258|According to mathematicians , significantly helps in determining the speed of the function by helping in the calculation of instantaneous velocity|Based_on|, on the other hand , does not support heavyweight process forking so it is not the preferred choice of language for highly concurrent and scalable systems . It does not support multithreading and concurrency well so Python is in the downside , when it comes to big data projects
1259|differentiation|Based_on|Python
1260|is concerned with determining the distanced travelled by any given function . The area under the curve is estimated to be equivalent to the distance travelled by the function|Based_on|is the preferred choice of language when you want to implement concurrency . Scala makes writing parallel code intuitive and straightforward by providing high-level concurrency abstractions . It offers multiple asynchronous libraries and reactive cores that help in quick integration of databases in highly scalable systems
1261|integration|Based_on|Scala
1262|is concerned with determining the distanced travelled by any given function . The area under the curve is estimated to be equivalent to the distance travelled by the function|Based_on|, on the other hand , does not support heavyweight process forking so it is not the preferred choice of language for highly concurrent and scalable systems . It does not support multithreading and concurrency well so Python is in the downside , when it comes to big data projects
1263|integration|Based_on|Python
1264|a is a restriction or limitation on someone or something|defines|constraint
1265|a is an act of holding back or keeping something or someone under control|defines|restraint
1266|A more often refers to a situation or a problem . For example , a financial constraint is a problem|defines|constraint
1267|A , on the other hand , refers to a restriction on an act or an individual . For instance , the court may issue a restraining order on an individual|defines|restraint
1268|a is a restriction or limitation on someone or something|opposed|a is an act of holding back or keeping something or someone under control
1269|A more often refers to a situation or a problem . For example , a financial constraint is a problem|opposed|A , on the other hand , refers to a restriction on an act or an individual . For instance , the court may issue a restraining order on an individual
1270|a is a restriction or limitation on someone or something|Based_on|A more often refers to a situation or a problem . For example , a financial constraint is a problem
1271|constraint|Based_on|constraint
1272|a is a restriction or limitation on someone or something|Based_on|A , on the other hand , refers to a restriction on an act or an individual . For instance , the court may issue a restraining order on an individual
1273|constraint|Based_on|restraint
1274|a is an act of holding back or keeping something or someone under control|Based_on|A more often refers to a situation or a problem . For example , a financial constraint is a problem
1275|restraint|Based_on|constraint
1276|a is an act of holding back or keeping something or someone under control|Based_on|A , on the other hand , refers to a restriction on an act or an individual . For instance , the court may issue a restraining order on an individual
1277|restraint|Based_on|restraint
1278|believe that God the Father was also human with a wife who gave birth to spirits when they attained godhood after dying and resurrecting|defines|LDS
1279|believe that God is divine and not human and does not have a wife|defines|Christians
1280|is used mainly in fields like education and publishing|defines|prescriptivism
1281|is used in academic linguistics|defines|descriptivism
1282|believe that God the Father was also human with a wife who gave birth to spirits when they attained godhood after dying and resurrecting|opposed|believe that God is divine and not human and does not have a wife
1283|is used mainly in fields like education and publishing|opposed|is used in academic linguistics
1284|believe that God the Father was also human with a wife who gave birth to spirits when they attained godhood after dying and resurrecting|Based_on|is used mainly in fields like education and publishing
1285|LDS|Based_on|prescriptivism
1286|believe that God the Father was also human with a wife who gave birth to spirits when they attained godhood after dying and resurrecting|Based_on|is used in academic linguistics
1287|LDS|Based_on|descriptivism
1288|believe that God is divine and not human and does not have a wife|Based_on|is used mainly in fields like education and publishing
1289|Christians|Based_on|prescriptivism
1290|believe that God is divine and not human and does not have a wife|Based_on|is used in academic linguistics
1291|Christians|Based_on|descriptivism
1292|are happy to see you when it is awaken from sleep , but a|defines|dogs
1293|will just pretend to be sleeping , even if you try to wake it|defines|cat
1294|You can learn , for example , the of a story from a character ’s experience|defines|moral
1295|The of the work , on the other hand , is usually an overarching message and is communicated through the setting of the story , the characters , and the action contained therein|defines|theme
1296|are happy to see you when it is awaken from sleep , but a|opposed|will just pretend to be sleeping , even if you try to wake it
1297|You can learn , for example , the of a story from a character ’s experience|opposed|The of the work , on the other hand , is usually an overarching message and is communicated through the setting of the story , the characters , and the action contained therein
1298|are happy to see you when it is awaken from sleep , but a|Based_on|You can learn , for example , the of a story from a character ’s experience
1299|dogs|Based_on|moral
1300|are happy to see you when it is awaken from sleep , but a|Based_on|The of the work , on the other hand , is usually an overarching message and is communicated through the setting of the story , the characters , and the action contained therein
1301|dogs|Based_on|theme
1302|will just pretend to be sleeping , even if you try to wake it|Based_on|You can learn , for example , the of a story from a character ’s experience
1303|cat|Based_on|moral
1304|will just pretend to be sleeping , even if you try to wake it|Based_on|The of the work , on the other hand , is usually an overarching message and is communicated through the setting of the story , the characters , and the action contained therein
1305|cat|Based_on|theme
1306|indicates that two things are identical|defines|Same
1307|implies that there is a similarity between the two things compared|defines|similar
1308|The stores excess of rotational energy for intermittent use . It stores energy when the supply is more than what ’s required for the operation and releases the same when the supply is less than the requirement|defines|flywheel
1309|The regulates the flow of fuel to maintain a constant mean speed throughout the cycle regardless of variations in load|defines|governor
1310|indicates that two things are identical|opposed|implies that there is a similarity between the two things compared
1311|The stores excess of rotational energy for intermittent use . It stores energy when the supply is more than what ’s required for the operation and releases the same when the supply is less than the requirement|opposed|The regulates the flow of fuel to maintain a constant mean speed throughout the cycle regardless of variations in load
1312|indicates that two things are identical|Based_on|The stores excess of rotational energy for intermittent use . It stores energy when the supply is more than what ’s required for the operation and releases the same when the supply is less than the requirement
1313|Same|Based_on|flywheel
1314|indicates that two things are identical|Based_on|The regulates the flow of fuel to maintain a constant mean speed throughout the cycle regardless of variations in load
1315|Same|Based_on|governor
1316|implies that there is a similarity between the two things compared|Based_on|The stores excess of rotational energy for intermittent use . It stores energy when the supply is more than what ’s required for the operation and releases the same when the supply is less than the requirement
1317|similar|Based_on|flywheel
1318|implies that there is a similarity between the two things compared|Based_on|The regulates the flow of fuel to maintain a constant mean speed throughout the cycle regardless of variations in load
1319|similar|Based_on|governor
1320|functions as both an adjective and a pronoun|defines|same
1321|only functions as an adjective|defines|similar
1322|is a protocol for automating the task of assigning IP addresses|defines|DHCP
1323|is when a certain network element gets the same IP address all the time|defines|Static IP
1324|functions as both an adjective and a pronoun|opposed|only functions as an adjective
